儲櫃 ID,開啟時間,關閉時間,平均溫度,最高濕度,最低濕度,平均濕度,Log創建時間,開啟次數,總開啟時間
C-003,2022-02-23 11:41:24,2022-02-23 11:45:38,254
C-002,2022-02-23 11:43:41,2022-02-23 11:45:35,114
TESTC-001,2022-02-23 11:40:55,2022-02-23 11:45:32,277
C-002,2022-02-23 11:40:32,2022-02-23 11:43:37,185
TESTC-001,2022-02-23 11:35:45,2022-02-23 11:36:10,25
TESTC-001,2022-02-23 11:35:20,2022-02-23 11:35:41,21
TESTC-001,2022-02-23 11:34:07,2022-02-23 11:35:13,66
TESTC-001,2022-02-23 11:26:45,2022-02-23 11:28:59,134
TESTC-001,2022-02-23 10:28:10,2022-02-23 10:28:19,9
TESTC-001,2022-02-23 10:26:55,2022-02-23 10:27:58,63
