20220211-09:37:12:556  DatabaseThread CycleTime : 500
20220211-09:37:13:054  DatabaseThread CycleTime : 500
20220211-09:37:13:555  DatabaseThread CycleTime : 500
20220211-09:37:14:055  DatabaseThread CycleTime : 500
20220211-09:37:14:555  DatabaseThread CycleTime : 500
20220211-09:37:15:054  DatabaseThread CycleTime : 500
20220211-09:37:15:555  DatabaseThread CycleTime : 500
20220211-09:37:16:055  DatabaseThread CycleTime : 500
20220211-09:37:16:555  DatabaseThread CycleTime : 500
20220211-09:37:17:056  DatabaseThread CycleTime : 500
20220211-09:37:17:554  DatabaseThread CycleTime : 500
20220211-09:37:18:055  DatabaseThread CycleTime : 500
20220211-09:37:18:555  DatabaseThread CycleTime : 500
20220211-09:37:19:055  DatabaseThread CycleTime : 500
20220211-09:37:19:555  DatabaseThread CycleTime : 500
20220211-09:37:20:055  DatabaseThread CycleTime : 500
20220211-09:37:20:554  DatabaseThread CycleTime : 500
20220211-09:37:21:055  DatabaseThread CycleTime : 500
20220211-09:37:21:556  DatabaseThread CycleTime : 500
20220211-09:37:22:054  DatabaseThread CycleTime : 500
20220211-09:37:22:555  DatabaseThread CycleTime : 500
20220211-09:37:23:056  DatabaseThread CycleTime : 500
20220211-09:37:23:555  DatabaseThread CycleTime : 500
20220211-09:37:24:060  DatabaseThread CycleTime : 500
20220211-09:37:24:555  DatabaseThread CycleTime : 500
20220211-09:37:25:055  DatabaseThread CycleTime : 500
20220211-09:37:25:555  DatabaseThread CycleTime : 500
20220211-09:37:26:056  DatabaseThread CycleTime : 500
20220211-09:37:26:554  DatabaseThread CycleTime : 500
20220211-09:37:27:055  DatabaseThread CycleTime : 500
20220211-09:37:27:556  DatabaseThread CycleTime : 500
20220211-09:37:28:054  DatabaseThread CycleTime : 500
20220211-09:37:28:555  DatabaseThread CycleTime : 500
20220211-09:37:29:055  DatabaseThread CycleTime : 500
20220211-09:37:29:555  DatabaseThread CycleTime : 500
20220211-09:37:30:055  DatabaseThread CycleTime : 500
20220211-09:37:30:556  DatabaseThread CycleTime : 500
20220211-09:37:31:054  DatabaseThread CycleTime : 500
20220211-09:37:31:555  DatabaseThread CycleTime : 500
20220211-09:37:32:056  DatabaseThread CycleTime : 500
20220211-09:37:32:555  DatabaseThread CycleTime : 500
20220211-09:37:33:054  DatabaseThread CycleTime : 500
20220211-09:37:33:556  DatabaseThread CycleTime : 500
20220211-09:37:34:055  DatabaseThread CycleTime : 500
20220211-09:37:34:554  DatabaseThread CycleTime : 500
20220211-09:37:35:056  DatabaseThread CycleTime : 500
20220211-09:37:35:554  DatabaseThread CycleTime : 500
20220211-09:37:36:055  DatabaseThread CycleTime : 500
20220211-09:37:36:556  DatabaseThread CycleTime : 500
20220211-09:37:37:054  DatabaseThread CycleTime : 500
20220211-09:37:37:555  DatabaseThread CycleTime : 500
20220211-09:37:38:055  DatabaseThread CycleTime : 500
20220211-09:37:38:554  DatabaseThread CycleTime : 500
